record_date,record_month,power_station_code,gc,gc_unit,gc_avg,gc_unit_city_avg,gc_unit_weather_avg,gc_unit_weather_city_avg,weather,weather_mapping,max_temp,min_temp,daylength,power_station_name,install_date,install_month,city,provider,size,electricity_price,power_money,dt
2018-01-02,2018-01,baijianhua,0.0,0.0,3.43,3.44,2.73,2.97,阴,阴,8,-1,9.82,白建华120.4kW光伏电站,2017-12-26,2017-12,日照,协鑫,120.4,0.85,0.0,2021-09-01
2018-01-03,2018-01,baijianhua,0.0,0.0,3.43,3.44,3.68,3.78,多云,多云,3,-1,9.83,白建华120.4kW光伏电站,2017-12-26,2017-12,日照,协鑫,120.4,0.85,0.0,2021-09-01
2018-01-04,2018-01,baijianhua,0.0,0.0,3.43,3.44,1.06,0.75,小雪,雪,1,-3,9.83,白建华120.4kW光伏电站,2017-12-26,2017-12,日照,协鑫,120.4,0.85,0.0,2021-09-01
2018-01-05,2018-01,baijianhua,0.0,0.0,3.43,3.44,4.49,4.58,晴,晴,3,-2,9.85,白建华120.4kW光伏电站,2017-12-26,2017-12,日照,协鑫,120.4,0.85,0.0,2021-09-01
2018-01-06,2018-01,baijianhua,0.0,0.0,3.43,3.44,3.68,3.78,多云,多云,4,-1,9.87,白建华120.4kW光伏电站,2017-12-26,2017-12,日照,协鑫,120.4,0.85,0.0,2021-09-01
2018-01-07,2018-01,baijianhua,0.0,0.0,3.43,3.44,1.06,0.75,中雪,雪,4,-1,9.88,白建华120.4kW光伏电站,2017-12-26,2017-12,日照,协鑫,120.4,0.85,0.0,2021-09-01
2018-01-08,2018-01,baijianhua,0.0,0.0,3.43,3.44,2.73,2.97,阴,阴,4,-4,9.9,白建华120.4kW光伏电站,2017-12-26,2017-12,日照,协鑫,120.4,0.85,0.0,2021-09-01
2018-01-09,2018-01,baijianhua,0.0,0.0,3.43,3.44,4.49,4.58,晴,晴,4,-6,9.92,白建华120.4kW光伏电站,2017-12-26,2017-12,日照,协鑫,120.4,0.85,0.0,2021-09-01
2018-01-10,2018-01,baijianhua,0.0,0.0,3.43,3.44,4.49,4.58,晴,晴,1,-7,9.93,白建华120.4kW光伏电站,2017-12-26,2017-12,日照,协鑫,120.4,0.85,0.0,2021-09-01
2018-01-11,2018-01,baijianhua,0.0,0.0,3.43,3.44,4.49,4.58,晴,晴,-1,-8,9.95,白建华120.4kW光伏电站,2017-12-26,2017-12,日照,协鑫,120.4,0.85,0.0,2021-09-01
